Grade	ID	BusinessName	count_3	count_2	count_1	LICSTATUS	EXPDTTM	LICENSENO	Address	City	State	ZIP
F	2237	PARK SQ CAFE	12	5	53	Active	12/31/2015 23:59	19050	31   ST JAMES  AV	BOSTON	MA	2116
A	2238	PARKWAY LITTLE LEAGUE STAND	1	0	6	Active	12/31/2015 23:59	26023	315   BAKER ST	WEST ROXBURY	MA	2132
B	2239	PARLA	3	0	16	Active	12/31/2015 23:59	20280	230  Hanover St	Boston	MA	2113
F	2240	PASTEUR RESTAURANT I I	19	1	79	Active	12/31/2015 23:59	19708	682   Washington ST	Boston	MA	2111
B	2241	PATRON'S MEXICAN KITCHEN	0	1	7	Active	12/31/2015 23:59	20937	138   BRIGHTON  AV	ALLSTON	MA	2134
C	2242	PATS PIZZA	4	2	22	Active	12/31/2015 23:59	24124	2254   Dorchester AV	Dorchester	MA	2124
A	2243	PAV1A	0	0	1	Active	12/31/2014 23:59	31674	4   YAWKEY WA	BOSTON	MA	2115
A	2244	PAVB1	0	0	4	Active	12/31/2014 23:59	31672	4   YAWKEY WA	BOSTON	MA	2115
A	2245	PAVC1	0	0	6	Active	12/31/2014 23:59	31666	4   YAWKEY	BOSTON	MA	2115
A	2246	PAVC3	0	0	9	Active	12/31/2014 23:59	31667	4   YAWKEY	BOSTON	MA	2115
B	2247	PEACH FARM RESTAURANT	1	1	31	Active	12/31/2015 23:59	19983	4   Tyler ST	Boston	MA	2111
D	2248	PEARL VILLA	5	5	23	Inactive	12/31/2011 23:59	21080	25   Tyler ST	Boston	MA	2118
F	2249	PEKING HOUSE	19	3	80	Active	12/31/2014 23:59	21092	160   Dudley ST	Roxbury	MA	2119
D	2250	PENNYPACKER'S FOOD TRUCK	5	4	13	Inactive	12/31/2014 23:59	75866	5   Tide ST	Boston	MA	2210
B	2251	PEPPER POT RESTAURANT  INC.	3	0	16	Inactive	12/31/2012 23:59	23299	208   DUDLEY	BOSTON	MA	2119
B	2252	PERKIN'S SQ DELI	0	1	6	Active	12/31/2015 23:59	18439	106   Dorchester ST	South Boston	MA	2127
C	2253	PETIT ROBERT BISTRO	1	3	13	Inactive	12/31/2012 23:59	68210	1414   Commonwealth AV	Allston	MA	2135
D	2254	PETIT ROBERT BISTRO	8	5	45	Active	12/31/2015 23:59	23947	468   COMMONWEALTH  AV	BOSTON	MA	2215
F	2255	PETIT ROBERT BISTRO	18	17	69	Active	12/31/2015 23:59	25080	480   COLUMBUS AV	BOSTON	MA	2118
F	2256	PF Chang's China Bistro	12	7	51	Active	12/31/2015 23:59	25984	800   BOYLSTON ST	BOSTON	MA	2199
C	2257	PHILLIPS OLD COLONY HOUSE INC.	1	2	15	Active	12/31/2015 23:59	18838	780   WM T MORRISSEY  BL	DORCHESTER	MA	2122
F	2258	PHO 2000	18	2	79	Active	12/31/2015 23:59	76202	198   Adams ST	Dorchester	MA	2122
F	2259	PHO AND I  INC.	16	4	47	Active	12/31/2015 23:59	24402	267   Huntington AV	Boston	MA	2115
F	2260	PHO HOA RESTAURANT II  INC.	19	5	79	Active	12/31/2015 23:59	22075	19   BEACH	BOSTON	MA	2111
F	2261	PHO SO 1 BOSTON	15	11	45	Active	12/31/2015 23:59	98148	223   Adams ST	Dorchester	MA	2122
A	2262	PHO VIETS	0	0	1	Inactive	12/31/2009 23:59	24115	1095   Commonwealth AV	Allston	MA	2215
B	2263	PHOENICIA	2	1	9	Inactive	12/31/2011 23:59	19954	240   Cambridge ST	Boston	MA	2114
D	2264	PICCO RESTAURANT	9	0	17	Active	12/31/2015 23:59	23296	513   TREMONT	BOSTON	MA	2116
D	2265	PICCOLA VENEZIA	4	5	45	Inactive	12/31/2013 23:59	20012	261   Hanover ST	Boston	MA	2113
A	2266	PIECE OF PIZZA	1	0	2	Inactive	12/31/2007 0:00	23305	1282   HYDE PARK  AV	HYDE PARK	MA	2136
D	2267	PIERROT	7	3	39	Active	12/31/2015 23:59	23336	272   Cambridge ST	Boston	MA	2114
D	2268	PIGALLE	7	1	17	Inactive	12/31/2013 23:59	21771	75   Charles St South	Boston	MA	2116
B	2269	PIZZA PIE-ER	2	1	13	Active	12/31/2015 23:59	78377	138  Old Colony Av	South Boston	MA	2127
D	2270	PIZZA PIE-ER	2	7	62	Inactive	12/31/2012 23:59	22200	182   Massachusetts AV	Boston	MA	2115
D	2271	PIZZERIA REGINA @ PRUDENTIAL	0	4	42	Active	12/31/2015 23:59	23120	800   Boylston ST	Boston	MA	2199
D	2272	PIZZERIA REGINA OF SO. STATION	3	4	47	Active	12/31/2015 23:59	23226	630   Atlantic AV	Boston	MA	2111
F	2273	PIZZERIA RICO	11	2	21	Inactive	12/31/2014 23:59	23339	32   BROMFIELD	BOSTON	MA	2108
D	2274	PLAYWRIGHT CAFE'	6	0	33	Active	12/31/2015 23:59	21571	658 E Broadway	South Boston	MA	2127
F	2275	PLAZA DELI II	12	2	37	Active	12/31/2014 23:59	22334	7   Bulfinch PL	Boston	MA	2114
